category_code,brand,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,overall_conversion_rate,min_price,max_price,avg_price
appliances.kitchen.oven,elenberg,6,0,0,0,,0,41.16,128.68,112.8917647
appliances.kitchen.oven,luxell,6,0,0,0,,0,40.64,200.29,113.3885714
appliances.kitchen.oven,redmond,6,0,0,0,,0,102.94,180.16,136.9436842
appliances.kitchen.refrigerators,alser,6,0,0,0,,0,450.44,746.45,534.8088889
appliances.kitchen.refrigerators,avalon,6,0,0,0,,0,339.75,642.74,572.082
appliances.kitchen.refrigerators,neo,6,0,0,0,,0,643.49,1389.97,886.993
appliances.kitchen.refrigerators,skyworth,6,0,0,0,,0,120.68,643.26,568.6057143
appliances.kitchen.toster,defender,6,0,0,0,,0,5.11,5.11,5.11
appliances.kitchen.toster,scott,6,0,0,0,,0,236.81,2391.31,625.1425
appliances.kitchen.washer,dauscher,6,0,0,0,,0,231.61,489.02,282.8935714
appliances.personal.hair_cutter,Unknown,6,1,1,0.1667,1,0.1667,1.67,53.54,10.61142857
appliances.personal.massager,aoc,6,0,0,0,,0,81.98,385.85,209.327
appliances.personal.massager,dauscher,6,0,0,0,,0,95.21,180.16,125.538
appliances.personal.massager,horizont,6,0,0,0,,0,97.79,489.05,204.3161538
appliances.personal.massager,nika,6,1,0,0.1667,0,0,20.59,48.88,26.47916667
appliances.personal.massager,turbo,6,0,0,0,,0,51.46,102.94,55.75
appliances.sewing_machine,bernina,6,0,0,0,,0,231.95,1799.27,868.4990909
auto.accessories.radar,trust,6,0,1,0,,0.1667,4.86,136.16,50.13272727
auto.accessories.videoregister,ersport,6,0,0,0,,0,666.68,666.68,666.68
computers.components.cooler,maxwell,6,1,0,0.1667,0,0,23.14,23.14,23.14
computers.components.cooler,philips,6,0,0,0,,0,102.94,1261.27,583.3622222
computers.components.cooler,tefal,6,0,0,0,,0,118.38,133.83,131.4530769
computers.components.power_supply,sven,6,1,0,0.1667,0,0,7.7,82.09,39.65454545
computers.components.videocards,defacto,6,0,0,0,,0,6.41,23.14,11.06307692
computers.desktop,cubicfun,6,0,0,0,,0,12.35,27.36,14.23
computers.desktop,respect,6,0,0,0,,0,19.31,53.8,43.16
computers.ebooks,ritmix,6,0,0,0,,0,80.02,89.81,86.25
computers.notebook,asus,6,1,0,0.1667,0,0,360.11,2566.3,1130.9775
computers.notebook,hp,6,0,0,0,,0,318.18,1407.76,893.40125
computers.notebook,vegas,6,0,0,0,,0,27.54,68.47,46.64928571
computers.peripherals.printer,epson,6,0,0,0,,0,174.75,401.3,229.0907692
construction.components.faucet,aquamarine,6,0,0,0,,0,11.84,43.76,20.39
construction.components.faucet,imperial,6,0,0,0,,0,236.64,827.48,521.7775
construction.tools.drill,restime,6,1,0,0.1667,0,0,38.35,38.35,38.35
construction.tools.generator,kukmara,6,0,0,0,,0,18.4,75.55,41.86566667
construction.tools.light,bosch,6,0,0,0,,0,79.77,1164.12,295.6752941
construction.tools.light,crown,6,0,0,0,,0,48.36,437.59,114.0205882
construction.tools.light,lg,6,0,1,0,,0.1667,134.29,204.64,198.7775
construction.tools.light,makita,6,0,0,0,,0,168.37,1049.82,639.4571429
construction.tools.painting,Unknown,6,0,0,0,,0,3.6,4.2,3.942857143
construction.tools.screw,Unknown,6,0,0,0,,0,20.34,51.22,35.4575
construction.tools.welding,eurolux,6,0,0,0,,0,53.54,94.21,61.674
construction.tools.welding,nillkin,6,0,0,0,,0,2.57,11.56,4.8175
country_yard.cultivator,apple,6,0,1,0,,0.1667,12.33,25.71,14.63769231
country_yard.cultivator,nike,6,0,0,0,,0,43.06,94.98,53.909
electronics.audio.acoustic,bosch,6,0,1,0,,0.1667,47.11,110.81,91.98166667
electronics.audio.subwoofer,phantom,6,0,0,0,,0,14.93,21.88,16.18
electronics.camera.video,inoi,6,0,0,0,,0,15.01,38.61,28.60636364
electronics.clocks,aqua,6,0,2,0,,0.3333,25.46,54.03,30.41181818
electronics.clocks,artel,6,0,0,0,,0,64.25,96.37,77.45941176
electronics.clocks,silverlit,6,0,0,0,,0,26.51,89.06,70.18846154
electronics.clocks,thermex,6,2,2,0.3333,1,0.3333,60.36,105.28,97.73041667
electronics.smartphone,nokia,6,0,0,0,,0,72.28,221.37,131.9375
electronics.telephone,epson,6,0,0,0,,0,406.42,1254.86,677.2442105
electronics.telephone,milavitsa,6,0,0,0,,0,12.5,35.22,25.1536
furniture.bathroom.bath,myprotein,6,0,0,0,,0,100.22,138.83,119.525
furniture.bedroom.bed,efremov,6,0,0,0,,0,107.85,212.62,137.1325
furniture.kitchen.table,d-link,6,1,0,0.1667,0,0,12.87,42.81,24.372
furniture.kitchen.table,omabelle,6,0,0,0,,0,1106.85,2522.59,1873.552857
furniture.kitchen.table,xiaomi,6,0,0,0,,0,10.27,34.82,16.96916667
furniture.living_room.cabinet,janome,6,0,0,0,,0,1280.83,1280.83,1280.83
furniture.living_room.cabinet,x-game,6,0,0,0,,0,1.52,3.78,3.134285714
furniture.living_room.chair,bauer,6,0,0,0,,0,8.55,30.09,24.54857143
furniture.living_room.sofa,silva,6,0,0,0,,0,374.78,374.78,374.78
furniture.universal.light,lavr,6,0,0,0,,0,11.56,11.56,11.56
kids.carriage,fisher,6,1,0,0.1667,0,0,184.05,338.23,265.2875
kids.dolls,brw,6,0,0,0,,0,67.7,137.97,104.584
kids.skates,rant,6,0,0,0,,0,41.16,128.68,107.0306977
kids.toys,fila,6,0,0,0,,0,100.36,114.52,105.94
kids.toys,hb,6,0,0,0,,0,36.01,43.73,36.782
kids.toys,silverlit,6,0,0,0,,0,29.6,99,80.37166667
medicine.tools.tonometer,dda,6,0,0,0,,0,28.57,40.54,39.5425
sport.bicycle,balta,6,0,0,0,,0,39.64,146.93,87.62777778
sport.ski,hp,6,1,0,0.1667,0,0,12.84,45.56,32.18230769
sport.ski,lenovo,6,0,0,0,,0,9.99,51.22,21.015
sport.ski,nike,6,0,0,0,,0,55.39,120.72,80.43444444
sport.ski,rivacase,6,0,0,0,,0,8.6,33.18,22.91263158
sport.trainer,thermaltake,6,0,0,0,,0,55.39,266.73,95.17411765
Unknown,altenzo,5,0,0,0,,0,38.35,119.69,72.47714286
Unknown,apacer,5,0,0,0,,0,4.86,16.45,9.319
Unknown,aplus,5,0,0,0,,0,43.24,132.05,69.806
Unknown,bene,5,0,0,0,,0,9.89,11.54,10.21076923
Unknown,bovidix,5,0,0,0,,0,23.04,86.23,48.316
Unknown,braun,5,0,0,0,,0,64.33,238.08,113.749
Unknown,caramelia,5,0,0,0,,0,21.85,49.91,34.96545455
Unknown,carver,5,0,0,0,,0,146.21,283.15,169.0333333
Unknown,cavaletto,5,0,0,0,,0,143.89,146.46,144.5909091
Unknown,dunlop,5,0,0,0,,0,51.48,218.8,118.68
Unknown,forcekraft,5,0,0,0,,0,83.66,96.53,89.17571429
Unknown,forward,5,1,0,0.2,0,0,39.9,414.43,105.0585714
Unknown,homy,5,0,0,0,,0,30.37,30.37,30.37
Unknown,huter,5,0,0,0,,0,152.62,559.83,343.9576923
Unknown,karcher,5,0,0,0,,0,74.11,74.11,74.11
Unknown,p.i.t.,5,0,0,0,,0,28.65,147.48,76.5125
Unknown,romana,5,0,0,0,,0,119.69,241.96,162.68
Unknown,seanovo,5,0,0,0,,0,688.82,1129.76,940.7857143
Unknown,shell,5,0,0,0,,0,17.76,32.17,25.38818182
Unknown,shua,5,0,0,0,,0,2007.77,2007.77,2007.77
Unknown,sunfull,5,1,1,0.2,1,0.2,31.4,50.97,46.11
Unknown,tognana,5,0,0,0,,0,74.65,115.32,108.5416667
Unknown,tramontina,5,0,0,0,,0,1.94,22.05,12.51571429
Unknown,x-race,5,0,0,0,,0,200.26,200.78,200.468
accessories.bag,stahlberg,5,0,0,0,,0,82.85,82.85,82.85
accessories.umbrella,fabretti,5,0,0,0,,0,17.76,17.76,17.76
accessories.wallet,anytek,5,0,0,0,,0,79.8,100.39,87.71923077
accessories.wallet,prestigio,5,0,0,0,,0,26.74,26.74,26.74
apparel.costume,wacom,5,0,0,0,,0,85.89,2059,1019.264
apparel.glove,carfashion,5,0,0,0,,0,5.79,13.64,8.578333333
apparel.glove,xiaomi,5,0,0,0,,0,22.03,22.03,22.03
apparel.scarf,cars,5,0,0,0,,0,6.92,6.92,6.92
apparel.scarf,defender,5,0,0,0,,0,4.09,26.67,16.71666667
apparel.scarf,x-game,5,1,0,0.2,0,0,4.47,9.24,6.22
apparel.shirt,herlitz,5,0,0,0,,0,129.74,164.97,136.2085714
apparel.shirt,kabrita,5,0,0,0,,0,22.11,39.2,30.70909091
apparel.shirt,kartal,5,0,0,0,,0,27.03,37.58,31.598
apparel.shoes,bambini,5,0,0,0,,0,56.93,117.48,74.80285714
apparel.shoes,canyon,5,0,0,0,,0,18.51,20.57,19.25909091
apparel.shoes,covani,5,0,0,0,,0,84.69,119.69,98.95571429
apparel.shoes,dam,5,0,0,0,,0,44.11,91.75,61.28333333
apparel.shoes,kumfo,5,0,0,0,,0,49.94,62.81,55.45571429
apparel.shoes,pasabahce,5,0,1,0,,0.2,5.89,6.41,6.085
apparel.shoes,pituso,5,0,0,0,,0,70.27,146.72,94.51833333
apparel.shoes,polaris,5,1,0,0.2,0,0,10.27,45.79,30.03285714
apparel.shoes,shimano,5,0,0,0,,0,67.03,272.83,111.9811111
apparel.shoes.keds,berghoff,5,1,1,0.2,1,0.2,29.58,303.71,163.7081818
apparel.shoes.keds,bosch,5,0,0,0,,0,115.81,283.12,200.3675
apparel.shoes.keds,peg-perego,5,1,1,0.2,1,0.2,157.02,308.36,278.092
apparel.shoes.keds,redmond,5,0,0,0,,0,54.03,207.83,71.61363636
apparel.shoes.keds,scarlett,5,0,0,0,,0,43.16,69.47,53.391875
apparel.shoes.keds,xiaomi,5,0,0,0,,0,106.03,336.17,219.8842857
apparel.shoes.moccasins,lucente,5,0,1,0,,0.2,177.87,177.87,177.87
apparel.shoes.sandals,bulgari,5,0,0,0,,0,54.19,71.75,61.624
apparel.shoes.sandals,lacoste,5,0,0,0,,0,37.22,55.6,48.47
apparel.shoes.slipons,microsoft,5,0,0,0,,0,900.67,1209.55,1042.24
apparel.shoes.slipons,msi,5,0,0,0,,0,56.29,130.91,94.06818182
apparel.trousers,tamina,5,0,0,0,,0,308.89,746.48,452.3014286
apparel.tshirt,almacom,5,0,0,0,,0,29.6,104.57,62.56866667
apparel.underwear,akai,5,0,1,0,,0.2,79.23,146.62,109.78375
apparel.underwear,cavaletto,5,0,0,0,,0,41.16,163.97,115.6414286
apparel.underwear,medeli,5,0,0,0,,0,239.39,807.49,335.7883333
appliances.environment.air_heater,powercolor,5,0,0,0,,0,110.94,212.62,199.91
appliances.environment.vacuum,elari,5,0,0,0,,0,180.16,257.38,234.214
appliances.environment.vacuum,mersco,5,0,0,0,,0,82.31,82.31,82.31
appliances.environment.vacuum,midea,5,0,1,0,,0.2,41.16,119.5,61.20357143
appliances.kitchen.dishwasher,hotpoint-ariston,5,0,0,0,,0,360.34,507.07,468.668
appliances.kitchen.fryer,carfashion,5,0,0,0,,0,11.58,41.19,29.807
appliances.kitchen.grill,lol,5,0,0,0,,0,24.71,115.83,47.49
appliances.kitchen.hob,dauscher,5,0,0,0,,0,126.1,185.31,162.1425
appliances.kitchen.hood,p.i.t.,5,0,0,0,,0,20.18,68.73,34.51454545
appliances.kitchen.juicer,geil,5,0,0,0,,0,14.65,77.31,27.3725
appliances.kitchen.kettle,bohemia,5,0,0,0,,0,13.95,298.93,74.81
appliances.kitchen.kettle,tramontina,5,0,0,0,,0,0.8,12.09,5.942
appliances.kitchen.meat_grinder,rooman,5,0,0,0,,0,40.93,53.8,51.226
appliances.kitchen.mixer,panasonic,5,0,0,0,,0,28.38,46.31,41.18714286
appliances.kitchen.oven,hansa,5,0,0,0,,0,257.38,411.57,341.5957143
appliances.kitchen.oven,samsung,5,0,0,0,,0,360.34,540.53,424.6957143
appliances.kitchen.refrigerators,barneo,5,0,0,0,,0,103.22,149.81,123.64
appliances.kitchen.refrigerators,elenberg,5,0,0,0,,0,82.34,149.27,111.0242857
appliances.kitchen.refrigerators,whirlpool,5,0,0,0,,0,487.25,783.14,647.7223077
appliances.kitchen.toster,behringer,5,1,0,0.2,0,0,266.93,508.38,336.83
appliances.kitchen.toster,bhawk,5,0,0,0,,0,174.26,194.86,181.1266667
appliances.kitchen.toster,merida,5,0,0,0,,0,409.28,580.45,487.7875
appliances.kitchen.toster,smartrike,5,0,0,0,,0,61.01,227.81,178.9914286
appliances.kitchen.toster,torrent,5,0,0,0,,0,65.24,188.65,87.67818182
appliances.kitchen.toster,x-game,5,0,0,0,,0,141.52,205.9,180.148
appliances.kitchen.toster,xiaomi,5,0,0,0,,0,35.78,627.18,326.9636364
appliances.kitchen.toster,yamaha,5,0,0,0,,0,71.92,342.21,159.143
appliances.kitchen.washer,shivaki,5,0,0,0,,0,61.61,152.09,97.29333333
appliances.personal.hair_cutter,arg,5,0,1,0,,0.2,12.84,12.84,12.84
appliances.personal.hair_cutter,scarlett,5,0,0,0,,0,9.61,20.57,15.0325
appliances.personal.massager,dell,5,0,0,0,,0,93.95,532.06,330.7518182
appliances.personal.massager,turboair,5,0,0,0,,0,46.31,46.31,46.31
appliances.sewing_machine,jack,5,0,0,0,,0,311.46,311.46,311.46
auto.accessories.compressor,sony,5,0,0,0,,0,51.46,388.32,121.7075
auto.accessories.parktronic,Unknown,5,0,0,0,,0,9.83,15.38,10.88666667
auto.accessories.parktronic,rapala,5,0,0,0,,0,78.51,116.3,86.90777778
auto.accessories.winch,Unknown,5,0,0,0,,0,7.46,32.95,12.97555556
computers.components.videocards,biomecanics,5,0,0,0,,0,24.45,70.79,59.36
computers.components.videocards,pablosky,5,0,0,0,,0,62.81,72.85,69.94428571
computers.desktop,dahua,5,0,0,0,,0,12.87,262.55,79.06785714
computers.ebooks,novline,5,0,1,0,,0.2,22.65,48.65,37.21222222
computers.notebook,askona,5,0,0,0,,0,17.76,365.19,153.343125
computers.notebook,belashoff,5,1,2,0.2,2,0.4,15.44,64.35,20.35666667
computers.peripherals.mouse,levenhuk,5,0,0,0,,0,26.76,342.89,105.5042857
computers.peripherals.mouse,thermaltake,5,0,0,0,,0,7.7,466.81,166.27
computers.peripherals.printer,imperial,5,0,0,0,,0,191.57,2112.01,659.7705263
computers.peripherals.printer,vega,5,0,0,0,,0,9.27,55.6,29.12285714
construction.components.faucet,merelani,5,0,0,0,,0,19.31,71.82,43.33
construction.tools.drill,ascot,5,0,0,0,,0,74.65,74.65,74.65
construction.tools.drill,reebok,5,0,0,0,,0,118.15,118.15,118.15
construction.tools.drill,swat,5,0,0,0,,0,54.26,61.78,60.52666667
construction.tools.generator,lara,5,0,0,0,,0,24.9,32.06,26.94571429
construction.tools.generator,tamina,5,1,0,0.2,0,0,12.84,424.72,95.216
construction.tools.light,dewalt,5,0,0,0,,0,126.14,1202.67,293.3545833
construction.tools.light,gionee,5,0,0,0,,0,74.39,123.3,105.8321429
construction.tools.light,irbis,5,0,0,0,,0,35.64,74.64,55.362
construction.tools.light,jinga,5,0,0,0,,0,48.85,71.88,59.89714286
construction.tools.light,outventure,5,0,0,0,,0,83.56,310.08,180.08625
construction.tools.light,umi,5,0,0,0,,0,643.33,643.47,643.4318182
construction.tools.saw,philips,5,1,0,0.2,0,0,45.65,353.04,113.9506667
construction.tools.screw,defacto,5,0,0,0,,0,5.12,10.27,6.899090909
construction.tools.welding,edon,5,1,0,0.2,0,0,54.57,84.94,67.79538462
construction.tools.welding,jasic,5,0,0,0,,0,177.19,2159.22,779.04
construction.tools.welding,p.i.t.,5,1,0,0.2,0,0,25.84,241.6,151.2871429
country_yard.furniture.hammok,sony,5,0,1,0,,0.2,19.28,46.05,28.9225
electronics.audio.acoustic,fender,5,0,0,0,,0,119.69,424.72,203.98
electronics.audio.headphone,Unknown,5,0,0,0,,0,66.41,2501.48,536.861
electronics.audio.microphone,dewalt,5,0,0,0,,0,141.57,797.12,338.5882143
electronics.audio.microphone,total,5,0,0,0,,0,59.18,59.18,59.18
electronics.audio.subwoofer,hertz,5,0,0,0,,0,68.11,481.63,235.9227273
electronics.audio.subwoofer,infinity,5,0,0,0,,0,41.19,108.11,82.113
electronics.camera.photo,arg,5,0,0,0,,0,25.71,48.88,35.61307692
electronics.camera.photo,maxwell,5,1,0,0.2,0,0,12.61,46.31,24.545
electronics.camera.photo,philips,5,0,0,0,,0,30.86,61.75,45.794
electronics.clocks,norfin,5,0,0,0,,0,39.98,50.07,42.28428571
electronics.clocks,oasis,5,1,0,0.2,0,0,31.43,270.25,91.55
electronics.clocks,rado,5,0,0,0,,0,1338.52,2574.07,2106.057273
electronics.clocks,seiko,5,0,0,0,,0,194.08,1022.42,416.79375
electronics.clocks,shivaki,5,0,0,0,,0,62.29,94.47,76.21666667
electronics.tablet,chairman,5,0,0,0,,0,73.36,347.24,123.2961538
electronics.tablet,dxracer,5,1,0,0.2,0,0,215.94,411.57,321.14125
electronics.tablet,machaon,5,2,0,0.4,0,0,6.23,63.41,23.27727273
electronics.telephone,optoma,5,0,0,0,,0,342.07,817.22,615.3692857
furniture.bathroom.bath,vitek,5,0,0,0,,0,20.57,38.59,28.9896
furniture.bedroom.bed,baden,5,0,0,0,,0,51.22,56.37,54.65333333
furniture.bedroom.blanket,galanz,5,0,0,0,,0,66.9,66.9,66.9
furniture.bedroom.blanket,pablosky,5,0,0,0,,0,21.36,52,35.188
furniture.bedroom.blanket,redmond,5,1,1,0.2,1,0.2,28.29,204.32,92.21866667
furniture.bedroom.blanket,yamatsu,5,0,0,0,,0,44.81,44.81,44.81
furniture.kitchen.chair,remax,5,0,0,0,,0,33.44,33.44,33.44
furniture.kitchen.table,bohemia,5,0,0,0,,0,8.49,34.57,27.585
furniture.kitchen.table,emer,5,0,0,0,,0,458.18,458.18,458.18
furniture.kitchen.table,hyperx,5,0,0,0,,0,41.16,49.79,45.475
furniture.kitchen.table,pasabahce,5,0,0,0,,0,4.09,7.7,5.231428571
furniture.kitchen.table,razer,5,1,1,0.2,1,0.2,40.67,137.45,68.15923077
furniture.kitchen.table,tognana,5,0,0,0,,0,18.02,41.19,27.956
kids.skates,dauscher,5,0,0,0,,0,514.79,617.75,606.31
kids.skates,teknum,5,0,0,0,,0,72.07,200.78,108.8442857
kids.swing,bosch,5,0,0,0,,0,522.51,1052.77,662.1142105
kids.swing,dauscher,5,1,0,0.2,0,0,8.98,10.27,9.754
kids.swing,galaxy,5,0,0,0,,0,9.76,14.39,11.30142857
kids.swing,machete,5,0,0,0,,0,38.61,38.61,38.61
kids.toys,asics,5,0,0,0,,0,72.05,97.81,86.483
kids.toys,brw,5,0,0,0,,0,114.8,200.01,136.3011111
kids.toys,disney,5,1,0,0.2,0,0,12.74,34.24,20.164
kids.toys,lol,5,0,0,0,,0,9.01,463.31,109.652
kids.toys,poli,5,0,0,0,,0,24.97,24.97,24.97
kids.toys,tamaris,5,0,0,0,,0,55.09,92.41,72.07333333
sport.bicycle,bose,5,0,0,0,,0,187.31,411.83,265.8666667
sport.bicycle,galaxy,5,0,0,0,,0,13.87,14.13,13.98142857
sport.bicycle,lenovo,5,0,0,0,,0,13.36,141.31,31.38333333
sport.bicycle,myprotein,5,0,0,0,,0,22.01,42.37,35.41571429
sport.ski,harley-davidson,5,0,0,0,,0,128.7,175.04,162.8075
sport.ski,thule,5,0,0,0,,0,113.23,196.66,131.3833333
sport.tennis,sulu,5,0,0,0,,0,51.48,128.7,77.22
sport.trainer,bugatti,5,0,0,0,,0,205.9,205.9,205.9
sport.trainer,deepcool,5,0,0,0,,0,55.34,120.44,79.45
sport.trainer,hyundai,5,1,0,0.2,0,0,71.82,200.72,184.1127778
sport.trainer,stels,5,0,0,0,,0,132.48,132.48,132.48
Unknown,alutec,4,0,0,0,,0,463.33,988.44,709.5142857
Unknown,appollo,4,0,0,0,,0,115.83,193.06,132.1355556
Unknown,ardesto,4,0,0,0,,0,11.58,11.58,11.58
Unknown,bsa-wheels,4,0,0,0,,0,258.44,349.56,301.04
Unknown,carbon,4,0,0,0,,0,651.5,1962.73,892.2190909
Unknown,clatronic,4,0,0,0,,0,56.6,156.74,81.635
Unknown,columbia,4,0,0,0,,0,321.05,377.63,346.79
Unknown,dyson,4,0,0,0,,0,552.11,643.49,608.362
Unknown,fissman,4,0,0,0,,0,14.03,127.03,97.685
Unknown,hitachi,4,0,0,0,,0,124.26,990.99,687.61
Unknown,kaiser,4,0,0,0,,0,592.04,1943.42,1673.144
Unknown,katun,4,0,0,0,,0,37.84,73.08,41.75555556
Unknown,legeartis,4,0,0,0,,0,549.82,617.78,595.1
Unknown,mirage,4,0,1,0,,0.25,67.78,270.28,127.6742857
Unknown,navien,4,0,0,0,,0,504.52,805.68,572.346
Unknown,nissan,4,0,0,0,,0,1235.55,1235.55,1235.55
Unknown,panasonic,4,0,0,0,,0,22.91,184.02,66.21571429
Unknown,proxxon,4,0,0,0,,0,8.24,177.07,72.235
Unknown,smeg,4,0,0,0,,0,30.38,30.38,30.38
Unknown,startul,4,1,1,0.25,1,0.25,12.25,158.95,46.13625
Unknown,swisshome,4,0,0,0,,0,69.24,110.43,103.565
Unknown,thorvik,4,0,0,0,,0,13.9,77.07,30.846
Unknown,toro,4,0,0,0,,0,9.76,9.76,9.76
Unknown,unilux,4,0,0,0,,0,225.09,1301.05,450.00125
Unknown,wenge,4,0,0,0,,0,22.91,30.63,25.11571429
accessories.bag,bestway,4,0,0,0,,0,7.83,7.83,7.83
accessories.bag,harley-davidson,4,0,0,0,,0,227.81,341.06,253.9766667
accessories.bag,myprotein,4,0,0,0,,0,47.52,231.5,118.815
accessories.wallet,blackvue,4,0,0,0,,0,305.75,696.55,466.4365
accessories.wallet,camshel,4,0,0,0,,0,59.2,68.13,65.15333333
accessories.wallet,inspector,4,0,0,0,,0,47.29,267.35,142.386
accessories.wallet,playme,4,0,0,0,,0,90.07,162.14,128.04
accessories.wallet,subini,4,1,0,0.25,0,0,79.8,177.61,123.556
apparel.costume,dermacol,4,0,0,0,,0,11.58,20.85,17.142
apparel.costume,huion,4,0,0,0,,0,38.34,138.97,93.61571429
apparel.costume,lg,4,0,0,0,,0,119.07,283.12,190.10125
apparel.costume,norfin,4,0,0,0,,0,50.58,366.42,261.396
apparel.costume,ryobi,4,0,0,0,,0,257.31,650.08,497.5028571
apparel.costume,vichy,4,0,0,0,,0,20.15,21.62,21.375
apparel.glove,Unknown,4,0,0,0,,0,6.54,114.45,37.03
apparel.jeans,tamina,4,0,0,0,,0,244.53,463.33,376.0988889
apparel.jumper,steelflex,4,0,0,0,,0,1304.8,1304.8,1304.8
apparel.scarf,bethesda,4,0,0,0,,0,7.72,69.24,17.97333333
apparel.scarf,ubisoft,4,1,0,0.25,0,0,23.16,38.59,34.12166667
apparel.shirt,luris,4,0,0,0,,0,17.99,25.86,24.286
apparel.shirt,magnetta,4,0,0,0,,0,83.66,261.14,159.7228571
apparel.shirt,nestogen,4,0,1,0,,0.25,5.53,9.76,7.677142857
apparel.shoes,acme,4,0,0,0,,0,25.48,56.37,45.045
apparel.shoes,bartek,4,0,0,0,,0,42.47,74.65,57.23
apparel.shoes,bestway,4,0,0,0,,0,9.76,36.04,29.16333333
apparel.shoes,bohemia,4,0,0,0,,0,19.08,140.06,55.1175
apparel.shoes,defacto,4,0,0,0,,0,7.7,23.14,11.55875
apparel.shoes,mastela,4,0,0,0,,0,66.93,66.93,66.93
apparel.shoes,okuma,4,0,0,0,,0,34.05,99.38,54.59833333
apparel.shoes,remonte,4,0,0,0,,0,55.09,100.13,83.015
apparel.shoes,salamander,4,0,0,0,,0,52,102.45,80.4425
apparel.shoes,sokolov,4,0,0,0,,0,23.3,1303.06,586.9257143
apparel.shoes,vega,4,1,0,0.25,0,0,28.31,46.33,38.481
apparel.shoes.ballet_shoes,pt-group,4,0,0,0,,0,193.06,244.54,207.53875
apparel.shoes.ballet_shoes,sho-me,4,1,0,0.25,0,0,71.57,90.09,78.89166667
apparel.shoes.espadrilles,ersport,4,0,0,0,,0,254.58,254.58,254.58
apparel.shoes.keds,auratic,4,0,0,0,,0,108.11,108.11,108.11
apparel.shoes.keds,butterfly,4,0,0,0,,0,152.33,196.32,176.7366667
apparel.shoes.keds,deeper,4,0,0,0,,0,149.16,411.83,243.628
apparel.shoes.keds,emily,4,0,0,0,,0,314.29,1258.9,654.784
apparel.shoes.keds,leander,4,0,0,0,,0,608.97,710.08,659.525
apparel.shoes.keds,okuma,4,0,0,0,,0,61.78,88.81,71.475
apparel.shoes.keds,pintinox,4,0,0,0,,0,39.64,278.26,87.364
apparel.shoes.keds,selby,4,0,0,0,,0,38.59,71.98,42.76375
apparel.shoes.keds,shimano,4,0,0,0,,0,67.96,181.09,121.122
apparel.shoes.moccasins,sv,4,0,0,0,,0,56.6,83.4,61.96
apparel.shoes.sandals,bosch,4,0,0,0,,0,7.72,132.58,57.664
apparel.shoes.sandals,kenzo,4,0,0,0,,0,47.49,105.51,60.14571429
apparel.shoes.sandals,kitfort,4,0,0,0,,0,25.71,27.72,27.41076923
apparel.shoes.sandals,lancome,4,0,0,0,,0,48.88,115.83,76.186
apparel.shoes.sandals,moschino,4,0,1,0,,0.25,39.17,90.09,54.116
apparel.shoes.sandals,trussardi,4,1,0,0.25,0,0,38.89,89.05,64.22391304
apparel.shoes.slipons,apacer,4,1,0,0.25,0,0,19.54,64.09,45.95230769
apparel.shorts,rainbo,4,0,0,0,,0,90.07,90.07,90.07
apparel.sock,fitlux,4,1,0,0.25,0,0,72.07,72.07,72.07
apparel.sock,nike,4,0,0,0,,0,25.74,80.16,58.392
apparel.tshirt,autoprofi,4,0,0,0,,0,37.58,67.96,58.09166667
apparel.tshirt,dewalt,4,0,0,0,,0,42.47,200.76,77.343
apparel.tshirt,ecocool,4,0,0,0,,0,92.54,92.54,92.54
apparel.tshirt,kelli,4,0,0,0,,0,34.98,34.98,34.98
apparel.underwear,alesis,4,0,0,0,,0,271.8,429.95,319.46875
apparel.underwear,brw,4,0,0,0,,0,429.35,439.65,437.075
apparel.underwear,defacto,4,0,0,0,,0,8.98,38.59,14.902
apparel.underwear,scarlett,4,0,0,0,,0,17.09,17.09,17.09
apparel.underwear,terris,4,2,0,0.5,0,0,25.74,36.04,29.17166667
appliances.environment.air_conditioner,beko,4,0,0,0,,0,223.97,361.5,256.825
appliances.environment.air_conditioner,samsung,4,0,0,0,,0,449.15,625.47,549.9042857
appliances.environment.vacuum,carver,4,0,0,0,,0,437.59,1028.34,660.2477778
appliances.environment.vacuum,dexp,4,0,0,0,,0,114.29,271.8,249.2985714
appliances.environment.vacuum,kolner,4,0,0,0,,0,7.77,57.89,39.095
appliances.ironing_board,glasman,4,0,0,0,,0,180.16,180.16,180.16
appliances.ironing_board,xiaomi,4,2,0,0.5,0,0,4.53,51.46,42.86181818
appliances.kitchen.blender,dauscher,4,0,0,0,,0,33.44,33.44,33.44
appliances.kitchen.blender,xiaomi,4,0,0,0,,0,63.06,65.64,63.576
appliances.kitchen.dishwasher,smeg,4,1,0,0.25,0,0,391.01,1484.07,1231.195
appliances.kitchen.grill,scarlett,4,0,0,0,,0,15.42,20.57,18.63875
appliances.kitchen.grill,simba,4,0,0,0,,0,15.44,45.79,32.54
appliances.kitchen.hob,Unknown,4,0,1,0,,0.25,53.8,179.93,100.9016667
appliances.kitchen.hob,beko,4,0,0,0,,0,118.38,296.27,192.624
appliances.kitchen.hob,samsung,4,0,0,0,,0,283.12,463.31,355.85
appliances.kitchen.hood,hyundai,4,0,0,0,,0,42.6,95.75,72.97142857
appliances.kitchen.juicer,gigabyte,4,0,0,0,,0,74.73,171.43,114.5775
appliances.kitchen.juicer,toshiba,4,0,0,0,,0,37.84,42.2,40.704
